id,full_name,midterm,assignment_1,assignment_2,assignment_3,final,course
151,Liza Krysztofowicz,88,89,42,54,59,Databases
152,Nancie Wetherell,79,86,41,78,36,Math
153,Mark Husby,92,95,97,76,99,Databases
154,Tallie Lavens,41,53,52,64,58,English
155,Frannie Jaspar,94,64,45,59,55,English
156,Cindee Casswell,54,50,69,75,58,Databases
157,Emmerich Chesnut,65,93,64,75,32,Programming
158,Shannah Demetr,34,97,79,45,76,Programming
159,Joycelin Elce,42,88,70,86,65,Programming
160,Atlante Caherny,33,67,63,100,64,Programming
161,Wynnie Kubala,66,44,90,53,39,Math
162,Erek Gilffilland,89,47,53,89,42,Algorithms
163,Darbee Suggate,85,43,74,59,55,Programming
164,Aubree Dillestone,31,78,43,99,59,Algorithms
165,Stearne Hofer,56,68,71,80,56,English
166,Teador Hefner,32,49,46,97,86,Algorithms
167,Cybil Dadley,46,86,41,92,63,Algorithms
168,Nickey Misk,64,43,59,64,81,Databases
169,Mozes Ganders,73,90,49,84,45,Databases
170,Elysha Moyle,42,68,57,97,73,English
171,Forrest Meikle,54,91,47,69,53,Algorithms
172,Toinette Lincke,58,50,78,85,42,Algorithms
173,Marita Cattlow,52,63,100,80,76,Databases
174,Osborn Menci,78,93,45,50,79,English
175,Sherwood Truder,73,41,86,74,80,English
176,Wenona Laffling,44,52,43,65,70,Programming
177,Morganne McCollum,85,80,98,80,88,Algorithms
178,Arlan Wills,99,59,59,86,38,English
179,Leonelle Poyser,81,66,94,41,60,Databases
180,Nicol Greenrodd,91,61,93,61,32,Databases
181,Wynne Girardoni,78,49,52,69,51,Math
182,Gabriel Schlagman,32,65,80,47,43,Math
183,Dell Peckett,67,48,95,75,30,Algorithms
184,Aura Connow,69,54,67,43,35,Databases
185,Artemas McAne,53,98,46,79,49,Math
186,Scarlet Franscioni,42,61,65,90,78,Math
187,Maren Shemelt,60,43,54,45,77,Algorithms
188,Cristabel Dudney,30,51,55,67,66,English
189,Trish Pelcheur,41,61,89,85,83,English
190,Tessy Maving,96,51,78,80,39,Math
191,Manfred Redwing,45,76,85,73,63,Algorithms
192,Bartholomew Hamp,66,63,66,100,49,Programming
193,Mallory Nettles,70,70,65,76,81,Programming
194,Thane Caldaro,80,79,64,61,96,Math
195,Corrinne Holwell,90,76,45,58,98,Algorithms
196,Annabelle Laflin,36,48,82,74,71,Algorithms
197,Lida Indruch,54,40,76,54,100,Math
198,Farlie Nutkins,71,63,72,69,95,Databases
199,Heriberto Chesworth,85,52,66,81,87,Programming
200,Jobey Imm,56,90,92,47,99,Databases
201,Xymenes Tocque,43,74,97,50,50,Algorithms
202,Pryce Worthing,68,77,60,76,95,English
203,Buffy Flade,36,55,54,70,65,Algorithms
204,Tori Dofty,96,85,76,58,75,Math
205,Phillis Beentjes,80,51,68,90,33,Databases
206,Emelen Hursthouse,38,99,60,92,48,Algorithms
207,Jeremy Embling,76,60,58,66,38,Databases
208,Doris Everex,76,44,75,94,47,English
209,Magnum Furmston,47,82,41,83,93,English
210,Batsheva Weich,85,63,99,95,80,Algorithms
211,Godfrey Ahearne,88,54,79,77,43,Algorithms
212,Nannette Casson,77,50,84,64,68,Math
213,Guy Kellock,48,68,55,88,64,Math
214,Bentley Breacher,97,81,80,42,61,English
215,Cristabel Curro,32,91,95,89,76,English
216,Sid Pay,68,44,96,79,85,Databases
217,Howey Darko,94,59,41,89,86,Programming
218,Thorn Gateland,42,66,100,76,60,Algorithms
219,Prudence Stubbs,66,92,80,46,71,Algorithms
220,Rubina Scarffe,51,56,54,85,49,Programming
221,Crosby Skyrm,42,96,66,82,49,Algorithms
222,Chere McHarry,68,68,55,73,47,Programming
223,Rayna Hickisson,82,58,47,95,44,Programming
224,Mathilde Divver,72,91,62,73,71,English
225,Yorgos Frick,66,94,48,72,50,Algorithms
226,Hercules Naish,70,65,100,92,65,Algorithms
227,Lesley Lawtey,38,64,99,50,86,Programming
228,Verla Drage,48,93,87,56,83,Math
229,Dina Pugsley,55,99,49,95,45,Programming
230,Teresita Gerber,60,77,82,68,57,Databases
231,Colver Larne,46,41,100,67,91,Programming
232,Dora Garnam,31,67,41,47,89,Algorithms
233,Miltie Jansson,37,79,58,64,55,English
234,Lin Salvidge,86,67,58,93,91,Math
235,Maxy Lowmass,47,41,100,77,94,Algorithms
236,Aggy Yashanov,54,82,65,76,62,Algorithms
237,Dennie Grove,85,48,65,72,71,Math
238,Anet Gillham,40,93,91,100,66,English
239,Jacenta Maginn,32,85,62,61,77,Math
240,Massimiliano Chaikovski,33,88,72,95,89,Programming
241,Georgianna Mateiko,88,47,55,67,87,Algorithms
242,Geoffry Ferrao,47,44,66,52,91,English
243,Cathlene Scotchford,66,70,75,96,62,Math
244,Corina Gurnay,93,54,57,45,43,Math
245,Kaye Maymond,69,77,72,42,55,English
246,Jessi Krugmann,93,47,66,90,68,Algorithms
247,Goddart Bambrick,59,58,98,54,89,Algorithms
248,Melisa Hartin,48,87,60,47,100,Math
249,Callie Rollett,62,93,89,71,90,Math
250,Alyosha Grassin,31,69,87,80,40,Algorithms
251,Sly Brommage,46,93,42,65,31,English
252,Lesli Blanchet,30,78,62,69,57,Algorithms
253,Anastasie Tansill,35,73,97,60,94,Math
254,Timofei Byforth,57,83,70,89,55,Algorithms
255,Yorgo Shaudfurth,56,65,82,79,36,English
256,Sosanna Aslett,50,65,52,55,55,Math
257,Cherri Roser,44,40,64,41,100,Programming
258,Jess Swyre,33,84,90,51,48,English
259,Vale Guise,36,52,93,70,32,Algorithms
260,Ivar Simmers,100,79,76,41,46,Math
261,Gianni Mabley,82,85,99,95,45,Databases
262,Tait Folbige,39,74,94,68,90,Math
263,Hilda Chalke,64,50,78,87,48,Databases
264,Sherwood Noirel,41,53,63,63,46,English
265,Sergei Troman,93,68,64,97,50,Math
266,Kandace Gheorghescu,54,47,71,68,36,Algorithms
267,Sumner Plumley,69,83,80,93,92,English
268,Vittoria Jolland,67,53,83,98,41,Math
269,Essie Briamo,60,100,79,62,73,Programming
270,Eric Figgs,72,41,67,84,60,Algorithms
271,Christa Wakeling,74,73,80,88,96,Math
272,Rodney Cote,36,49,44,45,96,English
273,Ana Craufurd,75,92,67,100,40,Databases
274,Deeanne MacCartair,75,66,53,51,82,Algorithms
275,Gerome Boylan,56,97,48,60,68,Programming
276,Chrissie Emanulsson,48,56,60,40,59,English
277,Sigrid Dukelow,45,71,95,84,50,English
278,Kellsie Battisson,49,86,68,94,72,Programming
279,Jerrie Earngy,84,66,46,50,72,Math
280,Cal Gilfoyle,49,59,52,64,99,Programming
281,Terencio Pinnock,55,97,78,95,77,Databases
282,Rori Tantrum,80,97,71,55,73,Programming
283,Arch Tooher,53,70,69,76,31,Math
284,Eamon Fluger,79,48,91,85,34,Math
285,Bevan Killiam,98,63,83,83,84,Programming
286,Storm Klehn,37,99,49,68,87,Algorithms
287,York Peperell,37,87,48,68,89,Databases
288,Molly Davydkov,89,44,46,52,60,English
289,Betti McKee,58,83,46,96,96,Programming
290,Kevon Winks,75,48,51,91,44,English
291,Conrade Hunnable,51,56,72,94,60,Math
292,Moe Reddin,40,50,52,83,71,Programming
293,Indira Zamorrano,70,51,60,43,48,English
294,Bobbie Daville,98,59,80,91,59,Programming
295,Goldia Kissack,60,51,63,62,30,Databases
296,Jacobo Grimsdike,40,80,67,91,92,Databases
297,Alistair Dacey,60,97,99,88,41,Databases
298,Jewelle Sedgwick,37,49,82,48,67,Databases
299,Jackelyn Proschke,37,41,71,74,39,Programming
300,Birch Trill,87,56,99,63,58,Programming
301,Monah Braghini,68,87,50,75,86,Algorithms
302,Johanna Harmour,92,56,87,44,86,English
303,Rickie Francesconi,52,90,81,60,45,Programming
304,Orrin Holdworth,54,91,71,43,89,Math
305,Niel Rucklidge,60,51,77,43,36,Databases
306,Herminia Beveridge,83,73,64,46,62,Programming
307,Elisabeth Nickolls,87,88,76,62,76,Math
308,Britte Lomasney,60,85,67,81,80,Programming
309,Babbie Copello,42,47,60,55,41,Math
310,Klara McPhilemy,62,95,72,59,58,English
311,Clea Camier,83,85,84,89,60,Algorithms
312,Lanita Shemilt,79,69,61,89,74,Databases
313,Jerry Storton,60,95,43,53,75,English
314,Sabine Posen,88,72,63,63,32,Databases
315,Bendix Rourke,30,94,82,46,90,English
316,Wheeler Littleover,86,45,48,88,72,English
317,Dreddy Gonnely,97,66,99,56,89,English
318,Gipsy Whinney,51,71,88,69,80,Algorithms
319,Rockey Duguid,30,100,41,93,94,Programming
320,Frederick Redhole,59,82,100,56,55,Math
321,Ash Ricco,81,49,61,76,76,Algorithms
322,Irene Abrahamsen,93,87,97,96,40,Programming
323,Frances Dealy,80,79,55,91,94,English
324,Monica Shewen,99,72,97,71,89,Programming
325,Rubi Berrisford,62,90,95,50,58,Math
326,Karen Palley,63,42,73,66,58,Math
327,Olvan Jacmard,47,69,46,94,46,Algorithms
328,Josh Tadgell,92,63,86,67,86,Programming
329,Nickolai Wapplington,93,42,70,62,74,Programming
330,Tiffi Matthews,54,74,58,45,53,Databases
331,Lorine Claffey,68,93,60,44,61,Databases
332,Wiatt Godsell,63,100,66,99,67,Math
333,Tova Kyme,51,73,60,97,76,English
334,Ermentrude Bullerwell,76,98,92,59,95,Databases
335,Kayle Bruno,40,89,40,75,99,Algorithms
336,Susy Amies,59,97,66,79,90,English
337,Tait Wilkes,81,78,96,83,40,Math
338,Selene Kaasman,40,57,79,54,36,Algorithms
339,Danyelle Townes,40,62,91,100,34,English
340,Angelina Paudin,37,77,98,56,59,Databases
341,Lelia Grills,92,80,83,69,59,Programming
342,Earle Bamborough,64,41,65,86,33,Databases
343,Nanette Novic,38,48,54,92,46,Math
344,Marje Quinnelly,49,66,98,47,80,Algorithms
345,Iorgos Millson,63,74,88,40,43,Math
346,Darline Godley,40,86,64,71,54,Programming
347,Flem Hannon,54,71,67,49,59,English
348,Jamill Woollcott,93,64,49,70,80,Algorithms
349,Timmi Thaller,84,88,50,74,95,Databases
350,Glynda Bartosik,87,65,98,86,92,Programming
351,Elnore Heinicke,62,92,91,64,87,Algorithms
352,Webster Stonuary,87,53,71,75,57,Databases
353,Merl Giametti,89,82,50,59,99,Databases
354,Muffin Wrightam,44,43,95,53,83,Databases
355,De Hissett,85,49,65,44,83,Databases
356,Jedidiah Palfrey,54,77,59,100,94,Algorithms
357,Roley Emanuelov,36,99,43,66,64,English
358,Helena Ivashev,81,60,94,69,62,Algorithms
359,Malachi Hallitt,63,45,91,57,100,English
360,Nikola Fairhurst,83,45,59,59,92,Algorithms
361,Rorke Vasilevich,50,56,66,55,38,Programming
362,Leese Keedy,87,70,65,98,74,Databases
363,Randie Tomanek,96,85,46,84,40,Programming
364,Arther Scrine,56,92,68,61,57,English
365,Letta Nation,41,97,92,52,45,Algorithms
366,Rosie Pleasants,57,65,94,67,49,Databases
367,Shani Exer,92,64,56,98,34,Math
368,Wakefield Skillitt,65,92,54,41,93,English
369,Ervin Brettell,58,78,82,67,99,Programming
370,Shannon Turk,94,46,45,60,96,Databases
371,Errol Byllam,43,82,42,62,60,Databases
372,Jeffy Brambell,97,64,48,48,42,Algorithms
373,Rochester Lashmore,66,74,61,88,43,Databases
374,Dyanne Ayerst,53,62,66,78,97,Programming
375,Claybourne Alennikov,74,68,89,50,62,Programming
376,Natala Ruppel,31,92,44,71,63,Programming
377,Bobbe Swindall,40,78,87,56,73,Algorithms
378,Marylou Dishmon,97,78,92,69,45,Programming
379,Storm Bullin,51,75,41,76,57,Algorithms
380,Clareta Janson,31,43,97,57,55,Algorithms
381,Ashely Laval,70,87,42,71,76,Math
382,Valry MacPaden,50,73,55,91,35,Databases
383,Sarene Fardy,93,43,49,49,66,Algorithms
384,Odey Broomfield,97,48,48,95,90,Programming
385,Danna Sabie,100,79,89,81,64,Algorithms
386,Palmer McRobert,40,79,68,84,89,Algorithms
387,Olwen Dearing,92,92,65,46,78,English
388,Shara Seagood,54,86,56,40,30,English
389,Nana Innott,78,88,46,48,95,Databases
390,Lorry Wastling,83,48,71,45,41,Algorithms
391,Rodd Olivet,91,90,47,44,56,Databases
392,Imogene Chezier,54,43,43,66,31,Databases
393,Goldie Gritskov,86,45,80,100,62,Algorithms
394,Jolynn Melsom,84,71,56,58,53,Databases
395,Wendie Crallan,49,53,59,56,78,Programming
396,Rodie Dougal,47,73,61,74,30,Math
397,Gerry Slimon,93,93,60,100,67,Algorithms
398,Laney Bailes,85,75,51,84,71,Databases
399,Georgianna Duferie,54,69,59,47,51,Algorithms
400,Garreth Usher,66,94,44,98,38,Algorithms
401,Merle McGorley,44,97,73,72,47,Math
402,Fairlie Calderon,100,98,87,82,50,Algorithms
403,Dukie Trippack,60,85,97,95,75,Databases
404,Rufus Ortiger,33,60,83,93,83,English
405,Stanly Britee,38,70,90,100,81,Algorithms
406,Tammy Ebi,89,75,62,74,51,Math
407,Brynn Fawckner,89,46,67,72,59,Programming
408,Elnar Ainscow,64,80,99,57,78,Programming
409,Zelig Duker,77,89,83,59,63,Databases
410,Jania Antonutti,40,56,76,59,82,Algorithms
411,Clyde Eykel,60,98,88,72,35,Programming
412,Kissee Gauvain,78,96,55,82,80,English
413,Germain Matches,85,89,53,58,36,Programming
414,Ada De Cleen,49,50,83,40,40,Databases
415,Dalila Vanshin,82,46,65,43,82,Math
416,Forrest Matskiv,79,62,40,96,60,Algorithms
417,Josy Piggrem,72,89,43,44,43,English
418,Palmer De Marchi,83,69,82,65,59,Databases
419,Gerhard Castan,74,48,95,76,32,Programming
420,Carlen Golston,73,78,65,40,38,Math
421,Bev Deport,78,96,54,74,43,Programming
422,Mufi Mannion,66,77,70,70,87,Programming
423,Darsie Deener,51,45,46,87,38,Algorithms
424,Clari Benitti,40,94,95,95,77,Databases
425,Lillis Kerman,52,50,84,48,51,Math
426,Friedrick Mees,95,79,88,44,37,Programming
427,Libbi Kevern,85,57,85,80,43,Databases
428,Jeffrey Eyton,46,43,85,69,63,English
429,Marice Trippack,42,94,43,69,91,Math
430,Vanya Fynes,55,99,77,88,52,Programming
431,Vinson Top,65,59,86,76,52,Databases
432,Ker Cabel,52,49,61,55,43,Programming
433,Mahmoud Claisse,52,62,51,85,95,Programming
434,Ulrica Gopsell,41,64,44,90,51,Algorithms
435,Rouvin Daintry,79,52,60,87,54,English
436,Rachelle Martinson,51,43,80,69,87,Math
437,Mervin Ghidelli,30,48,75,89,82,Math
438,Veradis Easbie,100,77,76,51,84,English
439,Crissie Clymo,48,89,99,41,92,Algorithms
440,Janina Geertsen,73,59,93,98,79,Math
441,Joseito Calven,58,98,80,54,57,Databases
442,Beck Badwick,64,58,52,78,73,Algorithms
443,Corabella Boutell,53,51,77,62,79,Algorithms
444,Casey Dysert,64,93,94,85,65,Math
445,Flossi Tonnesen,61,93,87,68,72,Programming
446,Clea Leband,36,81,62,42,86,Algorithms
447,Lynne Moyser,36,91,79,93,95,English
448,Prissie Emburey,78,94,80,61,54,Algorithms
449,Ede Portchmouth,83,96,54,94,66,Databases
450,Nick Haruard,75,57,71,60,58,Programming
451,Patty Battin,74,68,95,76,47,Databases
452,Fons Hoodlass,89,77,70,64,30,Programming
453,Lesli Caldera,46,97,58,69,31,Algorithms
454,Trent Apple,99,88,86,99,97,Math
455,Keane Keune,90,59,93,41,89,Algorithms
456,L;urette Peoples,36,42,80,48,39,Programming
457,Ewen Driffill,90,43,56,54,59,Algorithms
458,Cherilynn Ollis,97,48,73,67,90,Math
459,Bunny McMillian,67,48,57,55,55,Math
460,Homere Alwell,51,96,70,94,44,Programming
461,Elijah Ludgrove,41,69,85,79,32,Math
462,Audrie Cay,65,54,51,89,90,Math
463,Glenden Hassekl,30,51,90,72,74,Databases
464,Lyman Jerrim,86,74,51,100,81,Programming
465,Dennie Maginn,84,96,91,71,86,Databases
466,Red Keunemann,87,52,45,87,56,Math
467,Anneliese Robez,62,100,44,64,97,Databases
468,Lurline Manilow,31,71,48,40,59,Math
469,Gussie Dagnall,30,71,59,46,55,Algorithms
470,Theressa Layburn,30,95,61,74,100,Algorithms
471,Katrina Macon,37,79,64,67,86,Databases
472,Alick Andrus,92,54,44,50,43,Databases
473,Shaughn Badby,94,68,95,89,98,Databases
474,Katuscha Godbold,76,71,79,44,83,Databases
475,Darcy McMurtyr,86,95,51,41,39,English
476,Jan Wealleans,62,93,48,47,46,Math
477,Harold Copestick,83,95,77,52,65,English
478,Odelinda Danilovich,84,66,61,97,37,Databases
479,Garald Andreassen,45,54,100,55,44,Programming
480,Brittan Sealove,89,67,55,62,55,Math
481,Madelyn Le Bosse,93,97,74,44,37,Algorithms
482,Melissa Trayte,99,89,99,67,50,Algorithms
483,Laryssa Holtaway,53,80,70,49,97,English
484,Brand Sloley,82,47,88,78,91,Programming
485,Garland Ackroyd,30,76,43,70,76,Databases
486,Rosemonde Paulou,31,95,63,92,83,English
487,Ashlan Maunders,63,83,50,94,77,Math
488,Dore Noli,62,77,40,50,35,Databases
489,Harris Flanne,76,79,47,72,61,English
490,Minny Karlik,92,86,58,93,79,Programming
491,Margarita Brecknell,74,78,78,80,39,Math
492,Cheston Whitesel,49,82,71,64,45,Math
493,Christie Fouch,94,83,41,57,87,Databases
494,Velma Trundle,84,52,95,61,63,English
495,Hulda Chatel,37,55,76,65,94,Programming
496,Guillemette Ackenhead,33,40,70,50,38,English
497,Brandyn Scotson,72,83,82,93,67,English
498,Mata Gidney,59,98,73,68,88,Programming
499,Terrie Gearing,65,91,55,68,68,Math
500,Karel Ackerley,92,83,67,60,84,Programming
501,Melita de Tocqueville,98,63,56,94,53,Math
502,Letta L'Episcopio,56,72,53,62,65,Programming
503,Tedie Fencott,62,45,73,89,82,Algorithms
504,Benedict Shallow,93,94,63,81,47,Math
505,Tallou Arnefield,31,43,60,77,86,Databases
506,Eulalie Spykins,56,46,83,68,46,English
507,Mallorie Ranfield,84,63,43,46,71,Databases
508,Brandais Houseley,61,73,82,98,99,Algorithms
509,Hewe Dominico,54,85,56,43,89,Databases
510,Tibold McGowran,31,66,49,81,35,Algorithms
511,Constantina Alltimes,92,87,95,58,98,English
512,Sylvester Heningam,32,45,99,77,91,Math
513,Iona Carnoghan,86,94,93,48,35,Programming
514,Nike Bergin,81,69,84,44,56,Databases
515,Joelly Morilla,80,68,58,55,49,Algorithms
516,Jilleen Jeannot,77,41,73,40,75,Programming
517,Kylen Songest,36,53,44,77,74,Math
518,Reese Broschke,67,67,57,93,77,English
519,Paquito Jeandet,53,45,75,53,64,Databases
520,Glyn Dobell,45,67,52,88,34,Math
521,Veriee Thinn,33,42,46,67,49,English
522,Alicea Oughton,97,55,43,94,31,Algorithms
523,Glad Tolchar,60,57,46,49,44,Programming
524,Feodora Vanyatin,74,97,46,97,30,Math
525,Bruno Breffit,96,84,76,53,79,Programming
526,Harriott Bereford,46,97,87,100,42,English
527,Neile Placido,31,84,99,69,95,English
528,Nathanael Guswell,61,66,65,74,57,English
529,Warner Maides,34,77,100,85,34,Databases
530,Cecelia Greatbatch,70,83,56,83,51,English
531,Carey Garstan,72,52,92,63,57,Algorithms
532,Graham Temprell,86,55,53,79,95,English
533,Roland Brandolini,69,94,67,82,59,Databases
534,Tawnya Ratie,38,65,53,87,56,English
535,Uri Keetch,66,97,87,46,74,Programming
536,Gerti Neaves,41,80,41,47,48,English
537,Guinevere Ranfield,90,74,67,60,77,Algorithms
538,Darda Oulner,35,76,60,52,76,English
539,Quintin Lappin,89,41,81,73,48,Math
540,Parry Giampietro,30,98,80,52,92,Math
541,Carola Arrighi,96,46,100,96,87,Algorithms
542,Giffie Rey,55,85,77,48,43,Math
543,Ashley Rilston,71,56,74,54,31,Databases
544,Allin Marti,76,55,92,96,40,Databases
545,Joela Shallcroff,87,64,66,67,31,Databases
546,Elston Duddle,83,94,68,97,96,Math
547,Tamqrah Oke,46,83,84,89,71,Programming
548,Desmond Harbor,40,91,93,89,82,Math
549,Zebedee M'Barron,77,73,64,57,74,Databases
550,Gwenny Yven,66,50,88,50,73,English
551,Finley Jewiss,94,96,99,92,92,Programming
552,Saloma Brisley,56,52,62,91,86,Math
553,Jonah Berg,76,53,64,96,44,Math
554,Aindrea Dane,81,98,91,94,30,English
555,Tades Louedey,100,43,62,55,32,Programming
556,Terza Trayford,96,75,58,60,84,Programming
